AA,STK,USD,NYSE
AAL,STK,USD,NASDAQ
AAN,STK,USD,NYSE
AAXJ,STK,USD,NASDAQ
AAXN,STK,USD,NASDAQ
ABB,STK,USD,NYSE
ABEO,STK,USD,NASDAQ
ABEV,STK,USD,NYSE
ABR,STK,USD,NYSE
ACA,STK,USD,NYSE
ACAD,STK,USD,NASDAQ
ACB,STK,USD,NYSE
ACC,STK,USD,NYSE
ACGL,STK,USD,NASDAQ
ACHC,STK,USD,NASDAQ
ACHN,STK,USD,NASDAQ
ACIW,STK,USD,NASDAQ
ACM,STK,USD,NYSE
ACOR,STK,USD,NASDAQ
ACRX,STK,USD,NASDAQ
ACST,STK,USD,NASDAQ
ACWI,STK,USD,NASDAQ
ACWX,STK,USD,NASDAQ
ADAP,STK,USD,NASDAQ
ADM,STK,USD,NYSE
ADMA,STK,USD,NASDAQ
ADMP,STK,USD,NASDAQ
ADNT,STK,USD,NYSE
ADPT,STK,USD,NASDAQ
ADRO,STK,USD,NASDAQ
ADSW,STK,USD,NYSE
ADT,STK,USD,NYSE
ADVM,STK,USD,NASDAQ
ADXS,STK,USD,NASDAQ
AEE,STK,USD,NYSE
AEG,STK,USD,NYSE
AEL,STK,USD,NYSE
AEM,STK,USD,NYSE
AEO,STK,USD,NYSE
AER,STK,USD,NYSE
AERI,STK,USD,NASDAQ
AES,STK,USD,NYSE
AFL,STK,USD,NYSE
AFMD,STK,USD,NASDAQ
AG,STK,USD,NYSE
AGEN,STK,USD,NASDAQ
AGI,STK,USD,NYSE
AGIO,STK,USD,NASDAQ
AGNC,STK,USD,NASDAQ
AGQ,STK,USD,AMEX
AGRX,STK,USD,NASDAQ
AGS,STK,USD,NYSE
AHH,STK,USD,NYSE
AIG,STK,USD,NYSE
AINV,STK,USD,NASDAQ
AIV,STK,USD,NYSE
AKBA,STK,USD,NASDAQ
AKR,STK,USD,NYSE
AKRX,STK,USD,NASDAQ
AKS,STK,USD,NYSE
AL,STK,USD,NYSE
ALB,STK,USD,NYSE
ALC,STK,USD,NYSE
ALE,STK,USD,NYSE
ALK,STK,USD,NYSE
ALKS,STK,USD,NASDAQ
ALLO,STK,USD,NASDAQ
ALLY,STK,USD,NYSE
ALSN,STK,USD,NYSE
AM,STK,USD,NYSE
AMAT,STK,USD,NASDAQ
AMC,STK,USD,NYSE
AMCR,STK,USD,NYSE
AMD,STK,USD,NASDAQ
AMH,STK,USD,NYSE
AMJ,STK,USD,AMEX
AMKR,STK,USD,NASDAQ
AMLP,STK,USD,AMEX
AMRN,STK,USD,NASDAQ
AMRS,STK,USD,NASDAQ
AMRX,STK,USD,NYSE
AMTD,STK,USD,NASDAQ
AMX,STK,USD,NYSE
AMZA,STK,USD,AMEX
ANAB,STK,USD,NASDAQ
ANF,STK,USD,NYSE
ANGI,STK,USD,NASDAQ
ANH,STK,USD,NYSE
AOBC,STK,USD,NASDAQ
AOS,STK,USD,NYSE
APA,STK,USD,NYSE
APHA,STK,USD,NYSE
APLE,STK,USD,NYSE
APLS,STK,USD,NASDAQ
APO,STK,USD,NYSE
APPS,STK,USD,NASDAQ
APVO,STK,USD,NASDAQ
APY,STK,USD,NYSE
AQMS,STK,USD,NASDAQ
AQN,STK,USD,NYSE
AQST,STK,USD,NASDAQ
AQUA,STK,USD,NYSE
AR,STK,USD,NYSE
ARCC,STK,USD,NASDAQ
ARCO,STK,USD,NYSE
ARDX,STK,USD,NASDAQ
ARES,STK,USD,NYSE
ARI,STK,USD,NYSE
ARLO,STK,USD,NYSE
ARLP,STK,USD,NASDAQ
ARMK,STK,USD,NYSE
ARNC,STK,USD,NYSE
AROC,STK,USD,NYSE
ARQL,STK,USD,NASDAQ
ARR,STK,USD,NYSE
ARWR,STK,USD,NASDAQ
ASB,STK,USD,NYSE
ASH,STK,USD,NYSE
ASHR,STK,USD,AMEX
ASLN,STK,USD,NASDAQ
ASNA,STK,USD,NASDAQ
ASRT,STK,USD,NASDAQ
ASX,STK,USD,NYSE
ATH,STK,USD,NYSE
ATI,STK,USD,NYSE
ATNM,STK,USD,AMEX
ATNX,STK,USD,NASDAQ
ATRA,STK,USD,NASDAQ
ATRS,STK,USD,NASDAQ
ATUS,STK,USD,NYSE
ATVI,STK,USD,NASDAQ
AU,STK,USD,NYSE
AUPH,STK,USD,NASDAQ
AUY,STK,USD,NYSE
AVDL,STK,USD,NASDAQ
AVEO,STK,USD,NASDAQ
AVLR,STK,USD,NYSE
AVP,STK,USD,NYSE
AVT,STK,USD,NASDAQ
AVTR,STK,USD,NYSE
AVXL,STK,USD,NASDAQ
AVYA,STK,USD,NYSE
AXAS,STK,USD,NASDAQ
AXL,STK,USD,NYSE
AXNX,STK,USD,NASDAQ
AXSM,STK,USD,NASDAQ
AXTA,STK,USD,NYSE
AXU,STK,USD,AMEX
AZN,STK,USD,NYSE
AZUL,STK,USD,NYSE
BAC,STK,USD,NYSE
BAH,STK,USD,NYSE
BAM,STK,USD,NYSE
BB,STK,USD,NYSE
BBAR,STK,USD,NYSE
BBBY,STK,USD,NASDAQ
BBD,STK,USD,NYSE
BBL,STK,USD,NYSE
BBT,STK,USD,NYSE
BBVA,STK,USD,NYSE
BC,STK,USD,NYSE
BCE,STK,USD,NYSE
BCRX,STK,USD,NASDAQ
BCS,STK,USD,NYSE
BDN,STK,USD,NYSE
BDSI,STK,USD,NASDAQ
BE,STK,USD,NYSE
BECN,STK,USD,NASDAQ
BEN,STK,USD,NYSE
BERY,STK,USD,NYSE
BEST,STK,USD,NYSE
BF.B,NYSE
BG,STK,USD,NYSE
BGCP,STK,USD,NASDAQ
BGG,STK,USD,NYSE
BGS,STK,USD,NYSE
BHC,STK,USD,NYSE
BHF,STK,USD,NASDAQ
BHP,STK,USD,NYSE
BHVN,STK,USD,NYSE
BIG,STK,USD,NYSE
BILI,STK,USD,NASDAQ
BIOC,STK,USD,NASDAQ
BIOS,STK,USD,NASDAQ
BJ,STK,USD,NYSE
BK,STK,USD,NYSE
BKD,STK,USD,NYSE
BKE,STK,USD,NYSE
BKI,STK,USD,NYSE
BKLN,STK,USD,AMEX
BKR,STK,USD,NYSE
BLDP,STK,USD,NASDAQ
BLDR,STK,USD,NASDAQ
BLL,STK,USD,NYSE
BLMN,STK,USD,NASDAQ
BLUE,STK,USD,NASDAQ
BMA,STK,USD,NYSE
BMRN,STK,USD,NASDAQ
BMY,STK,USD,NYSE
BMY.P,NYSE
BNDX,STK,USD,NASDAQ
BNED,STK,USD,NYSE
BNGO,STK,USD,NASDAQ
BNO,STK,USD,AMEX
BNS,STK,USD,NYSE
BOLD,STK,USD,NASDAQ
BOOT,STK,USD,NYSE
BOTZ,STK,USD,NASDAQ
BOX,STK,USD,NYSE
BP,STK,USD,NYSE
BPFH,STK,USD,NASDAQ
BPMX,STK,USD,AMEX
BPR,STK,USD,NASDAQ
BPY,STK,USD,NASDAQ
BREW,STK,USD,NASDAQ
BRFS,STK,USD,NYSE
BRMK,STK,USD,NYSE
BRO,STK,USD,NYSE
BROGR,STK,USD,NASDAQ
BROGW,STK,USD,NASDAQ
BRP,STK,USD,NASDAQ
BRX,STK,USD,NYSE
BRY,STK,USD,NASDAQ
BRZU,STK,USD,AMEX
BSAC,STK,USD,NYSE
BSBR,STK,USD,NYSE
BSX,STK,USD,NYSE
BTE,STK,USD,NYSE
BTG,STK,USD,AMEX
BTI,STK,USD,NYSE
BTU,STK,USD,NYSE
BUD,STK,USD,NYSE
BVN,STK,USD,NYSE
BWA,STK,USD,NYSE
BX,STK,USD,NYSE
BXMT,STK,USD,NYSE
BYD,STK,USD,NYSE
BYND,STK,USD,NASDAQ
BZUN,STK,USD,NASDAQ
C,STK,USD,NYSE
CADE,STK,USD,NYSE
CAG,STK,USD,NYSE
CAH,STK,USD,NYSE
CAKE,STK,USD,NASDAQ
CAL,STK,USD,NYSE
CAR,STK,USD,NASDAQ
CARA,STK,USD,NASDAQ
CARG,STK,USD,NASDAQ
CARS,STK,USD,NYSE
CBAY,STK,USD,NASDAQ
CBD,STK,USD,NYSE
CBL,STK,USD,NYSE
CBRE,STK,USD,NYSE
CBSH,STK,USD,NASDAQ
CC,STK,USD,NYSE
CCC,STK,USD,NYSE
CCEP,STK,USD,NYSE
CCJ,STK,USD,NYSE
CCK,STK,USD,NYSE
CCL,STK,USD,NYSE
CCO,STK,USD,NYSE
CCXI,STK,USD,NASDAQ
CDAY,STK,USD,NYSE
CDE,STK,USD,NYSE
CDEV,STK,USD,NASDAQ
CDK,STK,USD,NASDAQ
CDNA,STK,USD,NASDAQ
CDNS,STK,USD,NASDAQ
CDXC,STK,USD,NASDAQ
CECO,STK,USD,NASDAQ
CEI,STK,USD,AMEX
CEM,STK,USD,NYSE
CEN,STK,USD,NYSE
CENTA,STK,USD,NASDAQ
CENX,STK,USD,NASDAQ
CEQP,STK,USD,NYSE
CERN,STK,USD,NASDAQ
CERS,STK,USD,NASDAQ
CF,STK,USD,NYSE
CFFN,STK,USD,NASDAQ
CFG,STK,USD,NYSE
CFX,STK,USD,NYSE
CG,STK,USD,NASDAQ
CGC,STK,USD,NYSE
CGIX,STK,USD,NASDAQ
CGNX,STK,USD,NASDAQ
CHD,STK,USD,NYSE
CHFS,STK,USD,NASDAQ
CHGG,STK,USD,NYSE
CHK,STK,USD,NYSE
CHL,STK,USD,NYSE
CHNG,STK,USD,NASDAQ
CHRS,STK,USD,NASDAQ
CHRW,STK,USD,NASDAQ
CHS,STK,USD,NYSE
CHWY,STK,USD,NYSE
CIEN,STK,USD,NYSE
CIG,STK,USD,NYSE
CIM,STK,USD,NYSE
CISN,STK,USD,NYSE
CIT,STK,USD,NYSE
CJJD,STK,USD,NASDAQ
CL,STK,USD,NYSE
CLDR,STK,USD,NYSE
CLF,STK,USD,NYSE
CLI,STK,USD,NYSE
CLNC,STK,USD,NYSE
CLNE,STK,USD,NASDAQ
CLNY,STK,USD,NYSE
CLR,STK,USD,NYSE
CLVS,STK,USD,NASDAQ
CMA,STK,USD,NYSE
CMC,STK,USD,NYSE
CMCSA,STK,USD,NASDAQ
CMRE,STK,USD,NYSE
CMS,STK,USD,NYSE
CNC,STK,USD,NYSE
CNDT,STK,USD,NYSE
CNHI,STK,USD,NYSE
CNK,STK,USD,NYSE
CNNE,STK,USD,NYSE
CNO,STK,USD,NYSE
CNP,STK,USD,NYSE
CNQ,STK,USD,NYSE
CNR,STK,USD,NYSE
CNX,STK,USD,NYSE
COG,STK,USD,NYSE
COLD,STK,USD,NYSE
COMM,STK,USD,NASDAQ
CONE,STK,USD,NASDAQ
CONN,STK,USD,NASDAQ
COOP,STK,USD,NASDAQ
COP,STK,USD,NYSE
CORT,STK,USD,NASDAQ
CORV,STK,USD,NASDAQ
COTY,STK,USD,NYSE
CPB,STK,USD,NYSE
CPE,STK,USD,NYSE
CPG,STK,USD,NYSE
CPRI,STK,USD,NYSE
CPRX,STK,USD,NASDAQ
CRBP,STK,USD,NASDAQ
CRC,STK,USD,NYSE
CREE,STK,USD,NASDAQ
CRIS,STK,USD,NASDAQ
CRNT,STK,USD,NASDAQ
CRON,STK,USD,NASDAQ
CROX,STK,USD,NASDAQ
CRR,STK,USD,NYSE
CRSP,STK,USD,NASDAQ
CRUS,STK,USD,NASDAQ
CRWD,STK,USD,NASDAQ
CRZO,STK,USD,NASDAQ
CS,STK,USD,NYSE
CSCO,STK,USD,NASDAQ
CSIQ,STK,USD,NASDAQ
CSLT,STK,USD,NYSE
CSTM,STK,USD,NYSE
CSX,STK,USD,NASDAQ
CTL,STK,USD,NYSE
CTLT,STK,USD,NYSE
CTRE,STK,USD,NASDAQ
CTSH,STK,USD,NASDAQ
CTST,STK,USD,NYSE
CTVA,STK,USD,NYSE
CUBE,STK,USD,NYSE
CUZ,STK,USD,NYSE
CVBF,STK,USD,NASDAQ
CVE,STK,USD,NYSE
CVEO,STK,USD,NYSE
CVET,STK,USD,NASDAQ
CVI,STK,USD,NYSE
CVIA,STK,USD,NYSE
CVS,STK,USD,NYSE
CWB,STK,USD,AMEX
CWEN,STK,USD,NYSE
CWH,STK,USD,NYSE
CWK,STK,USD,NYSE
CX,STK,USD,NYSE
CXO,STK,USD,NYSE
CXP,STK,USD,NYSE
CXW,STK,USD,NYSE
CY,STK,USD,NASDAQ
CYH,STK,USD,NYSE
CYOU,STK,USD,NASDAQ
CYTK,STK,USD,NASDAQ
CZR,STK,USD,NASDAQ
CZZ,STK,USD,NYSE
DAL,STK,USD,NYSE
DAN,STK,USD,NYSE
DAR,STK,USD,NYSE
DB,STK,USD,NYSE
DBC,STK,USD,AMEX
DBD,STK,USD,NYSE
DBEF,STK,USD,AMEX
DBI,STK,USD,NYSE
DBX,STK,USD,NASDAQ
DCI,STK,USD,NYSE
DCP,STK,USD,NYSE
DD,STK,USD,NYSE
DDD,STK,USD,NYSE
DDOG,STK,USD,NASDAQ
DEA,STK,USD,NYSE
DEI,STK,USD,NYSE
DELL,STK,USD,NYSE
DENN,STK,USD,NASDAQ
DERM,STK,USD,NASDAQ
DFFN,STK,USD,NASDAQ
DGRO,STK,USD,AMEX
DHI,STK,USD,NYSE
DHT,STK,USD,NYSE
DISCA,STK,USD,NASDAQ
DISCK,STK,USD,NASDAQ
DISH,STK,USD,NASDAQ
DISHR,STK,USD,NASDAQ
DK,STK,USD,NYSE
DKS,STK,USD,NYSE
DLPH,STK,USD,NYSE
DLTH,STK,USD,NASDAQ
DNKN,STK,USD,NASDAQ
DNOW,STK,USD,NYSE
DNR,STK,USD,NYSE
DO,STK,USD,NYSE
DOC,STK,USD,NYSE
DOCU,STK,USD,NASDAQ
DOMO,STK,USD,NASDAQ
DOW,STK,USD,NYSE
DOX,STK,USD,NASDAQ
DOYU,STK,USD,NASDAQ
DPLO,STK,USD,NYSE
DQ,STK,USD,NYSE
DRE,STK,USD,NYSE
DRH,STK,USD,NYSE
DRRX,STK,USD,NASDAQ
DT,STK,USD,NYSE
DTIL,STK,USD,NASDAQ
DUST,STK,USD,AMEX
DVA,STK,USD,NYSE
DVAX,STK,USD,NASDAQ
DVN,STK,USD,NYSE
DWT,STK,USD,AMEX
DXC,STK,USD,NYSE
DXD,STK,USD,AMEX
DXJ,STK,USD,AMEX
EAF,STK,USD,NYSE
EB,STK,USD,NYSE
EBAY,STK,USD,NASDAQ
EC,STK,USD,NYSE
ECA,STK,USD,NYSE
ECH,STK,USD,AMEX
EDIT,STK,USD,NASDAQ
EEM,STK,USD,AMEX
EFA,STK,USD,AMEX
EFC,STK,USD,NYSE
EFOI,STK,USD,NASDAQ
EFV,STK,USD,AMEX
EGHT,STK,USD,NYSE
EGO,STK,USD,NYSE
EIX,STK,USD,NYSE
ELAN,STK,USD,NYSE
ELF,STK,USD,NYSE
ELP,STK,USD,NYSE
ELS,STK,USD,NYSE
ELY,STK,USD,NYSE
EMLC,STK,USD,AMEX
EMLP,STK,USD,AMEX
EMN,STK,USD,NYSE
EMO,STK,USD,NYSE
EMR,STK,USD,NYSE
ENB,STK,USD,NYSE
ENBL,STK,USD,NYSE
ENDP,STK,USD,NASDAQ
ENIA,STK,USD,NYSE
ENIC,STK,USD,NYSE
ENLC,STK,USD,NYSE
ENPH,STK,USD,NASDAQ
ENR,STK,USD,NYSE
ENTG,STK,USD,NASDAQ
EOG,STK,USD,NYSE
EPD,STK,USD,NYSE
EPI,STK,USD,AMEX
EPP,STK,USD,AMEX
EPR,STK,USD,NYSE
EPZM,STK,USD,NASDAQ
EQH,STK,USD,NYSE
EQM,STK,USD,NYSE
EQNR,STK,USD,NYSE
EQT,STK,USD,NYSE
ERF,STK,USD,NYSE
ERI,STK,USD,NASDAQ
ERIC,STK,USD,NASDAQ
ERJ,STK,USD,NYSE
EROS,STK,USD,NYSE
ERX,STK,USD,AMEX
ESI,STK,USD,NYSE
ESPR,STK,USD,NASDAQ
ESRT,STK,USD,NYSE
ESTC,STK,USD,NYSE
ET,STK,USD,NYSE
ETFC,STK,USD,NASDAQ
ETM,STK,USD,NYSE
ETRN,STK,USD,NYSE
ETSY,STK,USD,NASDAQ
EUFN,STK,USD,NASDAQ
EURN,STK,USD,NYSE
EV,STK,USD,NYSE
EVER,STK,USD,NASDAQ
EVH,STK,USD,NYSE
EVRG,STK,USD,NYSE
EVRI,STK,USD,NYSE
EWA,STK,USD,AMEX
EWBC,STK,USD,NASDAQ
EWC,STK,USD,AMEX
EWG,STK,USD,AMEX
EWH,STK,USD,AMEX
EWI,STK,USD,AMEX
EWJ,STK,USD,AMEX
EWL,STK,USD,AMEX
EWN,STK,USD,AMEX
EWP,STK,USD,AMEX
EWQ,STK,USD,AMEX
EWS,STK,USD,AMEX
EWT,STK,USD,AMEX
EWU,STK,USD,AMEX
EWW,STK,USD,AMEX
EWY,STK,USD,AMEX
EWZ,STK,USD,AMEX
EXC,STK,USD,NASDAQ
EXEL,STK,USD,NASDAQ
EXG,STK,USD,NYSE
EXK,STK,USD,NYSE
EXPD,STK,USD,NASDAQ
EXPR,STK,USD,NYSE
EXTR,STK,USD,NASDAQ
EYPT,STK,USD,NASDAQ
EZPW,STK,USD,NASDAQ
EZU,STK,USD,AMEX
F,STK,USD,NYSE
FAAR,STK,USD,NASDAQ
FAF,STK,USD,NYSE
FAST,STK,USD,NASDAQ
FATE,STK,USD,NASDAQ
FAX,STK,USD,AMEX
FBHS,STK,USD,NYSE
FBP,STK,USD,NYSE
FCAU,STK,USD,NYSE
FCEL,STK,USD,NASDAQ
FCG,STK,USD,AMEX
FCX,STK,USD,NYSE
FE,STK,USD,NYSE
FET,STK,USD,NYSE
FEYE,STK,USD,NASDAQ
FEZ,STK,USD,AMEX
FG,STK,USD,NYSE
FGEN,STK,USD,NASDAQ
